school_group,tj_pathway,division,school_id,school,class_year,nmsf_count,grade11_enrollment,nmsf_per_100_juniors,rate_status,row_coverage_status,nmsf_status,enrollment_status,denominator_gap_flag,nmsf_missingness_flag,rate_missingness_note
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2023,8,445,1.797753,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2024,5,412,1.213592,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2025,5,454,1.101322,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2026,8,475,1.684211,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,broad_run_high_school,Broad Run High School,2019,,407,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,broad_run_high_school,Broad Run High School,2020,,405,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,broad_run_high_school,Broad Run High School,2021,,382,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,broad_run_high_school,Broad Run High School,2022,,410,,missing_nmsf_count,nmsf_gap,missing_source,reported,false,true,missing NMSF count
Base public schools,Loudoun,LCPS,broad_run_high_school,Broad Run High School,2023,6,379,1.583113,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,broad_run_high_school,Broad Run High School,2024,2,407,0.491400,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
Base public schools,Loudoun,LCPS,broad_run_high_school,Broad Run High School,2025,2,394,0.507614,calculated,compatible,verified_count,reported,false,false,calculated from source-backed count and grade 11 enrollment
