school_id,school,tj_pathway,nmsf_2023,nmsf_2024,nmsf_2025,nmsf_2026,rate_2023,rate_2024,rate_2025,rate_2026,count_change_2024_2025,count_change_2025_2026,count_change_2024_2026,rate_change_2024_2025,rate_change_2025_2026,rate_change_2024_2026
yorktown_high_school,Yorktown High School,Arlington,3.000000,6.000000,3.000000,5.000000,0.427960,1.058201,0.462250,0.770416,-3.000000,2.000000,-1.000000,-0.595951,0.308166,-0.287785
broad_run_high_school,Broad Run High School,Loudoun,6.000000,2.000000,2.000000,3.000000,1.583113,0.491400,0.507614,0.748130,0.000000,1.000000,1.000000,0.016214,0.240516,0.256730
c_d_hylton_high_school,C.D. Hylton High School,Prince William,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.229358,0.000000,1.000000,1.000000,0.000000,0.229358,0.229358
dominion_high_school,Dominion High School,Loudoun,2.000000,0.000000,2.000000,3.000000,0.543478,0.000000,0.505051,0.842697,2.000000,1.000000,3.000000,0.505051,0.337646,0.842697
fairfax_high_school,Fairfax High School,FCPS Region 5,2.000000,3.000000,4.000000,5.000000,0.343053,0.480769,0.650407,0.801282,1.000000,1.000000,2.000000,0.169638,0.150875,0.320513
falls_church_high_school,Falls Church High School,FCPS Region 2,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.174216,0.000000,1.000000,1.000000,0.000000,0.174216,0.174216
gainesville_high_school,Gainesville High School,Prince William,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.155280,0.000000,1.000000,1.000000,0.000000,0.155280,0.155280
herndon_high_school,Herndon High School,FCPS Region 1,1.000000,0.000000,1.000000,2.000000,0.165289,0.000000,0.152905,0.353357,1.000000,1.000000,2.000000,0.152905,0.200452,0.353357
justice_high_school,Justice High School,FCPS Region 2,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.160000,0.000000,1.000000,1.000000,0.000000,0.160000,0.160000
riverside_high_school,Riverside High School,Loudoun,2.000000,1.000000,4.000000,5.000000,0.428266,0.233645,0.877193,1.136364,3.000000,1.000000,4.000000,0.643548,0.259171,0.902719
annandale_high_school,Annandale High School,FCPS Region 2,0.000000,1.000000,0.000000,0.000000,0.000000,0.177936,0.000000,0.000000,-1.000000,0.000000,-1.000000,-0.177936,0.000000,-0.177936
battlefield_high_school,Battlefield High School,Prince William,0.000000,0.000000,2.000000,2.000000,0.000000,0.000000,0.362976,0.391389,2.000000,0.000000,2.000000,0.362976,0.028413,0.391389
