school_group,tj_pathway,division,school_id,school,class_year,nmsf_count,nmsf_status,nmsf_count_available,nmsf_source_id,nmsf_source_title,nmsf_source_url,nmsf_source_date,nmsf_source_hash,count_missingness_note
Base public schools,Arlington,APS,washington_liberty_high_school,Washington-Liberty High School,2025,7,verified_count,true,aps_2025_semifinalists,22 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/22-seniors-named-national-merit-scholarship-semifinalists/,2024-09-12,de5fdc39b014327562b25c13af29e100e5a1b43d49db4b9ac416ec2663dd661d,source-backed numeric count
Base public schools,Arlington,APS,washington_liberty_high_school,Washington-Liberty High School,2026,9,verified_count,true,aps_2026_semifinalists,30 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/29-seniors-named-national-merit-scholarship-semifinalists/,2025-09-11,1039702f522156bc8fcca6c9b4ca1122d8af5634f41616666e70e5025f2cd2bd,source-backed numeric count
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2019,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2020,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2021,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2022,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2023,3,verified_count,true,aps_2023_semifinalists,17 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/17-seniors-named-national-merit-scholarship-semifinalists/,2022-09-16,eb698326e9c1c9b0b76d961730e6c429d0f99c624fe5ded47558a5d7a7765481,source-backed numeric count
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2024,6,verified_count,true,patch_arlington_2024_semifinalists,16 Arlington Seniors Named 2024 National Merit Semifinalists,https://patch.com/virginia/arlington-va/16-arlington-seniors-named-2024-national-merit-semifinalists,2023-09-14,5126006edc21a73a7803e132bf2eca73d34f4233a5d1112b4442bf81f4d88236,source-backed numeric count
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2025,3,verified_count,true,aps_2025_semifinalists,22 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/22-seniors-named-national-merit-scholarship-semifinalists/,2024-09-12,de5fdc39b014327562b25c13af29e100e5a1b43d49db4b9ac416ec2663dd661d,source-backed numeric count
Base public schools,Arlington,APS,yorktown_high_school,Yorktown High School,2026,5,verified_count,true,aps_2026_semifinalists,30 Seniors Named National Merit Scholarship Semifinalists,https://www.apsva.us/post/29-seniors-named-national-merit-scholarship-semifinalists/,2025-09-11,1039702f522156bc8fcca6c9b4ca1122d8af5634f41616666e70e5025f2cd2bd,source-backed numeric count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2019,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2020,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2021,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2022,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2023,0,verified_zero,true,nmsc_virginia_2023_semifinalists,Semifinalists in the 2023 National Merit Scholarship Program - Virginia list,https://drive.google.com/file/d/1lukNgBPkoLPTaAptU7YrhkG8YtauqYqa/view,2022-09-14,a5a1b914b24274d5d25d965097cf8b13fb010cbe8bbd88056c17adf691162299,source-backed numeric count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2024,5,verified_count,true,patch_falls_church_2024_semifinalists,11 Falls Church Students In Running For 2024 National Merit Scholarships,https://patch.com/virginia/fallschurch/11-falls-church-students-named-2024-national-merit-semifinalists,2023-09-14,798cfea09c4c6536a732157d2e03ee47607444b55e36efcc62c2efc2192f01ce,source-backed numeric count
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2025,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Falls Church City,Falls Church City,meridian_high_school,Meridian High School,2026,5,verified_count,true,nmsc_virginia_2026_semifinalists,Semifinalists in the 2026 National Merit Scholarship Program - Virginia list,https://drive.google.com/file/d/1xCdjpoXII9oTmu_hWYFqeWl5XWmTblSu/view,2025-09-10,1172227af16ae45b55c4a9df0a8d42b7d19fa8b614ba9f2744e002561eafe4ba,source-backed numeric count
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2019,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2020,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2021,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2022,,missing_source,false,,,,,,missing NMSF source; not treated as zero
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2023,8,verified_count,true,lcps_2023_semifinalists,62 LCPS Students Named National Merit Scholarship Semifinalists,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=441768&PageID=1,2022-09-16,a43ed988b6e7b2e1953067712c4558c795ee3e33f5d4ded0398ef280394db078,source-backed numeric count
Base public schools,Loudoun,LCPS,briar_woods_high_school,Briar Woods High School,2024,5,verified_count,true,lcps_2024_semifinalists,LCPS National Merit Semifinalists Announced,https://www.lcps.org/site/default.aspx?PageType=3&DomainID=1&ModuleInstanceID=274904&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=467748&PageID=1,2023-09-19,5ccd5743977eb9a17cf8b6ed7286444e63329702887aecbaa76858e15bd3321f,source-backed numeric count
