source_id,provider,class_year,school_name_source,nmsf_count,nmsf_status,source_title,source_url,source_date,source_scope,source_completeness,source_notes
fcps_2026_semifinalists,fcps,2026,Centreville High School,7,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Chantilly High School,17,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Edison High School,2,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Fairfax High School,5,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Falls Church High School,1,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Herndon High School,2,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Justice High School,1,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Lake Braddock Secondary School,5,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Langley High School,23,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Madison High School,8,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Marshall High School,15,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,McLean High School,20,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Oakton High School,25,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,South Lakes High School,1,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Thomas Jefferson High School for Science and Technology,113,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,West Potomac High School,1,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,West Springfield High School,2,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Westfield High School,6,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
fcps_2026_semifinalists,fcps,2026,Woodson High School,8,verified_count,262 FCPS Students Named 2026 National Merit Semifinalists,https://www.fcps.edu/news/262-fcps-students-named-2026-national-merit-semifinalists-0,2025-09-11,FCPS high schools,complete named FCPS list only,names listed by school on official FCPS page
