source_row_id,source_sheet,source_row,school_name_source,state_name,school_year,grade11_students,grade11_status,grades9_12_students,grades9_12_status
sheet6_row_022,Sheet6,22,FREEDOM HIGH,Virginia,2019-20,540,reported,2117,reported
sheet6_row_022,Sheet6,22,FREEDOM HIGH,Virginia,2018-19,486,reported,2073,reported
sheet6_row_022,Sheet6,22,FREEDOM HIGH,Virginia,2017-18,462,reported,1921,reported
sheet6_row_023,Sheet6,23,FREEDOM HIGH,Virginia,2023-24,441,reported,2341,reported
sheet6_row_023,Sheet6,23,FREEDOM HIGH,Virginia,2022-23,495,reported,2345,reported
sheet6_row_023,Sheet6,23,FREEDOM HIGH,Virginia,2021-22,470,reported,2193,reported
sheet6_row_023,Sheet6,23,FREEDOM HIGH,Virginia,2020-21,488,reported,2224,reported
sheet6_row_023,Sheet6,23,FREEDOM HIGH,Virginia,2019-20,486,reported,2236,reported
sheet6_row_023,Sheet6,23,FREEDOM HIGH,Virginia,2018-19,546,reported,2247,reported
sheet6_row_023,Sheet6,23,FREEDOM HIGH,Virginia,2017-18,536,reported,2333,reported
sheet6_row_024,Sheet6,24,GAINESVILLE HIGH,VIRGINIA,2023-24,679,reported,2416,reported
sheet6_row_024,Sheet6,24,GAINESVILLE HIGH,VIRGINIA,2022-23,473,reported,2020,reported
sheet6_row_024,Sheet6,24,GAINESVILLE HIGH,VIRGINIA,2021-22,224,reported,1371,reported
sheet6_row_024,Sheet6,24,GAINESVILLE HIGH,VIRGINIA,2020-21,,not_applicable,,not_applicable
sheet6_row_024,Sheet6,24,GAINESVILLE HIGH,VIRGINIA,2019-20,,not_applicable,,not_applicable
sheet6_row_024,Sheet6,24,GAINESVILLE HIGH,VIRGINIA,2018-19,,not_applicable,,not_applicable
sheet6_row_024,Sheet6,24,GAINESVILLE HIGH,VIRGINIA,2017-18,,not_applicable,,not_applicable
sheet6_row_025,Sheet6,25,GAR-FIELD HIGH,Virginia,2023-24,612,reported,2520,reported
sheet6_row_025,Sheet6,25,GAR-FIELD HIGH,Virginia,2022-23,568,reported,2515,reported
sheet6_row_025,Sheet6,25,GAR-FIELD HIGH,Virginia,2021-22,524,reported,2479,reported
sheet6_row_025,Sheet6,25,GAR-FIELD HIGH,Virginia,2020-21,536,reported,2344,reported
sheet6_row_025,Sheet6,25,GAR-FIELD HIGH,Virginia,2019-20,510,reported,2411,reported
sheet6_row_025,Sheet6,25,GAR-FIELD HIGH,Virginia,2018-19,612,reported,2386,reported
sheet6_row_025,Sheet6,25,GAR-FIELD HIGH,Virginia,2017-18,597,reported,2472,reported
sheet6_row_026,Sheet6,26,HAYFIELD SECONDARY,Virginia,2023-24,540,reported,2227,reported
sheet6_row_026,Sheet6,26,HAYFIELD SECONDARY,Virginia,2022-23,548,reported,2175,reported
sheet6_row_026,Sheet6,26,HAYFIELD SECONDARY,Virginia,2021-22,509,reported,2110,reported
sheet6_row_026,Sheet6,26,HAYFIELD SECONDARY,Virginia,2020-21,501,reported,2140,reported
sheet6_row_026,Sheet6,26,HAYFIELD SECONDARY,Virginia,2019-20,543,reported,2122,reported
sheet6_row_026,Sheet6,26,HAYFIELD SECONDARY,Virginia,2018-19,502,reported,2127,reported
sheet6_row_026,Sheet6,26,HAYFIELD SECONDARY,Virginia,2017-18,563,reported,2073,reported
sheet6_row_027,Sheet6,27,HB WOODLAWN SECONDARY PROGRAM,Virginia,2023-24,,not_applicable,,not_applicable
sheet6_row_027,Sheet6,27,HB WOODLAWN SECONDARY PROGRAM,Virginia,2022-23,,not_applicable,,not_applicable
sheet6_row_027,Sheet6,27,HB WOODLAWN SECONDARY PROGRAM,Virginia,2021-22,,not_applicable,,not_applicable
sheet6_row_027,Sheet6,27,HB WOODLAWN SECONDARY PROGRAM,Virginia,2020-21,,not_applicable,,not_applicable
sheet6_row_027,Sheet6,27,HB WOODLAWN SECONDARY PROGRAM,Virginia,2019-20,,not_applicable,,not_applicable
sheet6_row_027,Sheet6,27,HB WOODLAWN SECONDARY PROGRAM,Virginia,2018-19,,not_applicable,,not_applicable
sheet6_row_027,Sheet6,27,HB WOODLAWN SECONDARY PROGRAM,Virginia,2017-18,,not_applicable,,not_applicable
sheet6_row_028,Sheet6,28,HERITAGE HIGH,Virginia,2023-24,353,reported,1508,reported
sheet6_row_028,Sheet6,28,HERITAGE HIGH,Virginia,2022-23,366,reported,1432,reported
sheet6_row_028,Sheet6,28,HERITAGE HIGH,Virginia,2021-22,349,reported,1458,reported
sheet6_row_028,Sheet6,28,HERITAGE HIGH,Virginia,2020-21,388,reported,1492,reported
sheet6_row_028,Sheet6,28,HERITAGE HIGH,Virginia,2019-20,363,reported,1498,reported
sheet6_row_028,Sheet6,28,HERITAGE HIGH,Virginia,2018-19,363,reported,1451,reported
sheet6_row_028,Sheet6,28,HERITAGE HIGH,Virginia,2017-18,360,reported,1417,reported
sheet6_row_029,Sheet6,29,HERNDON HIGH,Virginia,2023-24,654,reported,2360,reported
sheet6_row_029,Sheet6,29,HERNDON HIGH,Virginia,2022-23,533,reported,2361,reported
sheet6_row_029,Sheet6,29,HERNDON HIGH,Virginia,2021-22,605,reported,2317,reported
sheet6_row_029,Sheet6,29,HERNDON HIGH,Virginia,2020-21,600,reported,2286,reported
sheet6_row_029,Sheet6,29,HERNDON HIGH,Virginia,2019-20,583,reported,2384,reported
sheet6_row_029,Sheet6,29,HERNDON HIGH,Virginia,2018-19,671,reported,2353,reported
sheet6_row_029,Sheet6,29,HERNDON HIGH,Virginia,2017-18,682,reported,2390,reported
sheet6_row_030,Sheet6,30,INDEPENDENCE HIGH,VIRGINIA,2023-24,524,reported,2073,reported
sheet6_row_030,Sheet6,30,INDEPENDENCE HIGH,VIRGINIA,2022-23,482,reported,2013,reported
sheet6_row_030,Sheet6,30,INDEPENDENCE HIGH,VIRGINIA,2021-22,449,reported,1825,reported
sheet6_row_030,Sheet6,30,INDEPENDENCE HIGH,VIRGINIA,2020-21,381,reported,1576,reported
sheet6_row_030,Sheet6,30,INDEPENDENCE HIGH,VIRGINIA,2019-20,255,reported,1063,reported
sheet6_row_030,Sheet6,30,INDEPENDENCE HIGH,VIRGINIA,2018-19,,not_applicable,,not_applicable
sheet6_row_030,Sheet6,30,INDEPENDENCE HIGH,VIRGINIA,2017-18,,not_applicable,,not_applicable
sheet6_row_031,Sheet6,31,JOHN CHAMPE HIGH,Virginia,2023-24,431,reported,1740,reported
sheet6_row_031,Sheet6,31,JOHN CHAMPE HIGH,Virginia,2022-23,381,reported,1598,reported
sheet6_row_031,Sheet6,31,JOHN CHAMPE HIGH,Virginia,2021-22,344,reported,1689,reported
sheet6_row_031,Sheet6,31,JOHN CHAMPE HIGH,Virginia,2020-21,530,reported,1871,reported
sheet6_row_031,Sheet6,31,JOHN CHAMPE HIGH,Virginia,2019-20,605,reported,1857,reported
sheet6_row_031,Sheet6,31,JOHN CHAMPE HIGH,Virginia,2018-19,540,reported,1651,reported
sheet6_row_031,Sheet6,31,JOHN CHAMPE HIGH,Virginia,2017-18,469,reported,2047,reported
sheet6_row_032,Sheet6,32,JUSTICE HIGH,Virginia,2023-24,607,reported,2404,reported
sheet6_row_032,Sheet6,32,JUSTICE HIGH,Virginia,2022-23,582,reported,2362,reported
sheet6_row_032,Sheet6,32,JUSTICE HIGH,Virginia,2021-22,543,reported,2224,reported
sheet6_row_032,Sheet6,32,JUSTICE HIGH,Virginia,2020-21,563,reported,2256,reported
sheet6_row_032,Sheet6,32,JUSTICE HIGH,Virginia,2019-20,589,reported,2378,reported
sheet6_row_032,Sheet6,32,JUSTICE HIGH,Virginia,2018-19,614,reported,2241,reported
sheet6_row_032,Sheet6,32,JUSTICE HIGH,Virginia,2017-18,582,reported,2215,reported
sheet6_row_033,Sheet6,33,LAKE BRADDOCK SECONDARY,Virginia,2023-24,740,reported,2964,reported
sheet6_row_033,Sheet6,33,LAKE BRADDOCK SECONDARY,Virginia,2022-23,680,reported,2910,reported
