source_id,class_year,city,school_name_source,matched_school_id,matched_school,nmsf_count,snapshot_record_type,snapshot_notes
nmsc_virginia_2026_semifinalists,2026,HENRICO,JOHN RANDOLPH TUCKER H. S.,,,2,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,HENRICO,LEESBURG HERITAGE H. S.,heritage_high_school_leesburg,Heritage High School (Leesburg),1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,HENRICO,MILLS E. GODWIN H. S.,,,3,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,HENRICO,RIVERSIDE H. S.,riverside_high_school,Riverside High School,5,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,LYNCHBURG,NEW COVENANT SCHOOLS,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,MADISON HEIGHTS,HOMESCHOOL / ONLINE SCHOOL,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,MADISON HEIGHTS,LANGLEY H. S.,langley_high_school,Langley High School,23,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,MADISON HEIGHTS,MANASSAS CHARLES J. COLGAN H. S.,charles_j_colgan_sr_high_school,Charles J. Colgan Sr. High School,1,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,MADISON HEIGHTS,MC LEAN BASIS INDEPENDENT,basis_independent_mclean,BASIS Independent McLean,9,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,MADISON HEIGHTS,MC LEAN H. S.,mclean_high_school,McLean High School,20,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,MADISON HEIGHTS,OSBOURN H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,MADISON HEIGHTS,POTOMAC SCHOOL,potomac_school,Potomac School,9,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,MADISON HEIGHTS,THE MADEIRA SCHOOL,the_madeira_school,The Madeira School,4,observation_count,matched to canonical roster; student names omitted
nmsc_virginia_2026_semifinalists,2026,MAGGIE L. WALKER,GOVERNOR'S SCHOOL,,,18,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,MIDLOTHIAN,CLOVER HILL H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
nmsc_virginia_2026_semifinalists,2026,MIDLOTHIAN,COSBY H. S.,,,1,out_of_roster_count,outside canonical roster or unmatched; student names omitted
