school_id,school,nces_school_id,nces_lea_id,nces_school_name,nces_lea_name,nces_city,nces_zip,nces_grade_low,nces_grade_high,nces_level,nces_school_type,nces_operational_status,source_title,source_url,source_retrieval_date,source_file_sha256
forest_park_high_school,Forest Park High School,510313002542,5103130,Forest Park High,Prince William County Public Schools,Woodbridge,22193,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
freedom_high_school_woodbridge,Freedom High School (Woodbridge),510313002458,5103130,Freedom High,Prince William County Public Schools,Woodbridge,22191,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
gar_field_high_school,Gar-Field High School,510313001299,5103130,Gar-Field High,Prince William County Public Schools,Woodbridge,22192,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
gainesville_high_school,Gainesville High School,510313003083,5103130,Gainesville High,Prince William County Public Schools,Gainesville,20155,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
c_d_hylton_high_school,C.D. Hylton High School,510313000186,5103130,C.D. Hylton High,Prince William County Public Schools,Woodbridge,22193,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
osbourn_park_high_school,Osbourn Park High School,510313001313,5103130,Osbourn Park High,Prince William County Public Schools,Manassas,20111,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
patriot_high_school,Patriot High School,510313002850,5103130,Patriot High,Prince William County Public Schools,Nokesville,20181,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
potomac_high_school,Potomac High School,510313001857,5103130,Potomac High,Prince William County Public Schools,Dumfries,22026,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
unity_reed_high_school,Unity Reed High School,510313001321,5103130,Unity Reed High,Prince William County Public Schools,Manassas,20109,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
woodbridge_senior_high_school,Woodbridge Senior High School,510313001327,5103130,Woodbridge High,Prince William County Public Schools,Woodbridge,22192,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
herndon_high_school,Herndon High School,510126000495,5101260,Herndon High,Fairfax County Public Schools,Herndon,20170,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
langley_high_school,Langley High School,510126000517,5101260,Langley High,Fairfax County Public Schools,McLean,22101,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
madison_high_school,Madison High School,510126000532,5101260,Madison High,Fairfax County Public Schools,Vienna,22181,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
oakton_high_school,Oakton High School,510126000550,5101260,Oakton High,Fairfax County Public Schools,Vienna,22181,09,12,High,Regular School,Open,"NCES CCD 2023-24 Public Elementary/Secondary School Universe Survey Directory, v.1a",https://nces.ed.gov/ccd/Data/zip/ccd_sch_029_2324_w_1a_073124.zip,2026-06-18,3910300771b1db27e0589d014451f95e3190ca71ab4dcabe06227224f58b4ecb
