school_id,school,tj_pathway,pathway_status,pathway_assignment_method,pathway_source_title,pathway_source_path,pathway_source_date,pathway_source_hash,pathway_source_note,division,district_name,sector,analytical_unit_type,nces_school_id,nces_lea_id,identifier_status,first_operating_class_year,first_operating_grade11_school_year,last_operating_class_year,last_operating_grade11_school_year,source_workbook,source_sheet,source_row,notes
tuscarora_high_school,Tuscarora High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002817,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,22,
woodgrove_high_school,Woodgrove High School,Loudoun,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,LCPS,Loudoun County Public Schools,public,public_high_school,510225002812,5102250,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,23,
battlefield_high_school,Battlefield High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313002457,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,24,
brentsville_district_high_school,Brentsville District High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313001288,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,25,
charles_j_colgan_sr_high_school,Charles J. Colgan Sr. High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313003025,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,26,
forest_park_high_school,Forest Park High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313002542,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,27,
freedom_high_school_woodbridge,Freedom High School (Woodbridge),Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313002458,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,28,
gar_field_high_school,Gar-Field High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313001299,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,29,
gainesville_high_school,Gainesville High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313003083,5103130,matched_2023_24_ccd,2023,2021-22,,,docs/source_notes/tj psat investigation.xlsx,raw,30,Opened 2021–22
c_d_hylton_high_school,C.D. Hylton High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313000186,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,31,
osbourn_park_high_school,Osbourn Park High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313001313,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,32,
patriot_high_school,Patriot High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313002850,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,33,
potomac_high_school,Potomac High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313001857,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,34,
unity_reed_high_school,Unity Reed High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313001321,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,35,Renamed from Stonewall Jackson HS (2020)
woodbridge_senior_high_school,Woodbridge Senior High School,Prince William,assigned,participating_jurisdiction,FCPS Regulation 3355.16 TJHSST Admissions,docs/source_notes/FCPS Regulation 3355.16 TJHSST Admissions.pdf,2022-05-17,ef491c14f4758e69569f180fc31e0c67e9f4fd43d46a92e4d48368877510ebf8,Regulation 3355.16 defines annual cooperating-division participation; the seed workbook supplies high-school-to-jurisdiction analytical rows.,PWCS,Prince William County Public Schools,public,public_high_school,510313001327,5103130,matched_2023_24_ccd,2019,2017-18,,,docs/source_notes/tj psat investigation.xlsx,raw,36,
