school_id,school,sector,tj_pathway,division,district_name,class_year,grade11_school_year,grade11_enrollment,enrollment_status,enrollment_source_title,enrollment_source_url,enrollment_source_date,enrollment_source_hash,enrollment_source_file,enrollment_source_rows,enrollment_source_variable,nces_school_id,pss_ppin,pss_imputation_flag,notes
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,Falls Church City Public Schools,2022,2020-21,226,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_042,,510129000283,,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,Falls Church City Public Schools,2023,2021-22,195,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_042,,510129000283,,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,Falls Church City Public Schools,2024,2022-23,197,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_042,,510129000283,,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,Falls Church City Public Schools,2025,2023-24,225,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_042,,510129000283,,,Renamed from George Mason HS in 2021
meridian_high_school,Meridian High School,public,Falls Church City,Falls Church City,Falls Church City Public Schools,2026,2024-25,245,reported,"NCES CCD 2024-25 Public Elementary/Secondary School Universe Survey Data, v.2a, School Membership",https://nces.ed.gov/ccd/Data/zip/ccd_sch_052_2425_l_1a_073025.zip,2025-07-30,4a7f660c5fc5eaae488dd02fd43498f349fc828b227edd0970d5b6995ead4d4d,ccd_sch_052_2425_l_1a_073025.zip,10254919,GRADE=11 total STUDENT_COUNT,510129000283,,,Renamed from George Mason HS in 2021
briar_woods_high_school,Briar Woods High School,public,Loudoun,LCPS,Loudoun County Public Schools,2019,2017-18,419,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_011,,510225002451,,,
briar_woods_high_school,Briar Woods High School,public,Loudoun,LCPS,Loudoun County Public Schools,2020,2018-19,441,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_011,,510225002451,,,
briar_woods_high_school,Briar Woods High School,public,Loudoun,LCPS,Loudoun County Public Schools,2021,2019-20,473,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_011,,510225002451,,,
briar_woods_high_school,Briar Woods High School,public,Loudoun,LCPS,Loudoun County Public Schools,2022,2020-21,467,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_011,,510225002451,,,
briar_woods_high_school,Briar Woods High School,public,Loudoun,LCPS,Loudoun County Public Schools,2023,2021-22,445,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_011,,510225002451,,,
briar_woods_high_school,Briar Woods High School,public,Loudoun,LCPS,Loudoun County Public Schools,2024,2022-23,412,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_011,,510225002451,,,
briar_woods_high_school,Briar Woods High School,public,Loudoun,LCPS,Loudoun County Public Schools,2025,2023-24,454,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_011,,510225002451,,,
briar_woods_high_school,Briar Woods High School,public,Loudoun,LCPS,Loudoun County Public Schools,2026,2024-25,475,reported,"NCES CCD 2024-25 Public Elementary/Secondary School Universe Survey Data, v.2a, School Membership",https://nces.ed.gov/ccd/Data/zip/ccd_sch_052_2425_l_1a_073025.zip,2025-07-30,4a7f660c5fc5eaae488dd02fd43498f349fc828b227edd0970d5b6995ead4d4d,ccd_sch_052_2425_l_1a_073025.zip,10294654,GRADE=11 total STUDENT_COUNT,510225002451,,,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,Loudoun County Public Schools,2019,2017-18,407,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_012,,510225000913,,,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,Loudoun County Public Schools,2020,2018-19,405,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_012,,510225000913,,,
broad_run_high_school,Broad Run High School,public,Loudoun,LCPS,Loudoun County Public Schools,2021,2019-20,382,reported,NCES CCD Public Elementary/Secondary School Universe Survey via ELSI export,http://nces.ed.gov/ccd/elsi/,,a7e041846b405a3a54c18c69e80918d375229f1c0423a98bfd3b6fb414ba157f,,sheet6_row_012,,510225000913,,,
